algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
XGBRegressor,1027_ESL,ok,0.763088,0.77365,,0.08,,
XGBRegressor,1028_SWD,ok,0.381552,0.664323,,0.06,,
XGBRegressor,1029_LEV,ok,0.642442,0.543981,,0.05,,
XGBRegressor,1030_ERA,ok,-0.03952,1.84933,,0.05,,
XGBRegressor,1089_USCrime,ok,0.538849,24.732068,,0.06,,
XGBRegressor,1096_FacultySalaries,ok,0.810663,1.493111,,0.05,,
XGBRegressor,1191_BNG_pbc,ok,-0.031785,946.138023,,0.13,,
XGBRegressor,1193_BNG_lowbwt,ok,0.569922,441.948625,,0.07,,
XGBRegressor,1196_BNG_pharynx,ok,0.121132,388.917418,,0.06,,
XGBRegressor,1199_BNG_echoMonths,ok,0.440438,11.487723,,0.09,,
XGBRegressor,1201_BNG_breastTumor,ok,-0.18526,12.95143,,0.07,,
XGBRegressor,1203_BNG_pwLinear,ok,0.30524,3.643562,,0.06,,
XGBRegressor,1595_poker,ok,-0.365287,1.445299,,0.06,,
XGBRegressor,192_vineyard,ok,0.647361,2.932754,,0.05,,
XGBRegressor,197_cpu_act,ok,0.703742,3.446298,,0.09,,
XGBRegressor,201_pol,ok,0.804636,20.254987,,0.09,,
XGBRegressor,210_cloud,ok,0.901721,0.384952,,0.06,,
XGBRegressor,215_2dplanes,ok,0.912196,1.280845,,0.05,,
XGBRegressor,218_house_8L,ok,0.325519,28919.529235,,0.08,,
XGBRegressor,225_puma8NH,ok,0.591595,3.598194,,0.12,,
XGBRegressor,227_cpu_small,ok,0.598859,4.010207,,0.08,,
XGBRegressor,228_elusage,ok,0.681185,12.578737,,0.05,,
XGBRegressor,229_pwLinear,ok,0.832295,1.70015,,0.06,,
XGBRegressor,230_machine_cpu,ok,0.905628,32.700427,,0.06,,
XGBRegressor,294_satellite_image,ok,0.913359,0.321151,,0.1,,
XGBRegressor,344_mv,ok,0.980511,1.50866,,0.11,,
XGBRegressor,4544_GeographicalOriginalofMusic,ok,0.559816,0.624357,,0.41,,
XGBRegressor,485_analcatdata_vehicle,ok,0.883196,97.2193,,0.05,,
XGBRegressor,503_wind,ok,0.580646,3.832858,,0.09,,
XGBRegressor,505_tecator,ok,0.983352,1.628073,,0.38,,
XGBRegressor,519_vinnie,ok,0.759011,1.372468,,0.06,,
XGBRegressor,522_pm10,ok,0.180972,0.725781,,0.07,,
XGBRegressor,523_analcatdata_neavote,ok,0.950194,0.826692,,0.05,,
XGBRegressor,527_analcatdata_election2000,ok,0.584682,72795.158724,,0.05,,
XGBRegressor,529_pollen,ok,0.239219,2.408114,,0.07,,
XGBRegressor,537_houses,ok,0.55682,68838.461058,,0.07,,
XGBRegressor,542_pollution,ok,0.447918,45.386661,,0.07,,
XGBRegressor,547_no2,ok,0.615715,0.493954,,0.08,,
XGBRegressor,556_analcatdata_apnea2,ok,0.67179,1361.661266,,0.05,,
XGBRegressor,557_analcatdata_apnea1,ok,0.663278,1159.589657,,0.05,,
XGBRegressor,560_bodyfat,ok,0.956537,1.468882,,0.07,,
XGBRegressor,561_cpu,ok,0.9459,19.425674,,0.06,,
XGBRegressor,562_cpu_small,ok,0.598859,4.010207,,0.08,,
XGBRegressor,564_fried,ok,0.806849,2.538873,,0.09,,
XGBRegressor,573_cpu_act,ok,0.703742,3.446298,,0.09,,
XGBRegressor,574_house_16H,ok,0.189075,31710.048833,,0.1,,
XGBRegressor,579_fri_c0_250_5,ok,0.735227,0.519731,,0.07,,
XGBRegressor,581_fri_c3_500_25,ok,0.697069,0.622069,,0.14,,
XGBRegressor,582_fri_c1_500_25,ok,0.693461,0.51496,,0.14,,
XGBRegressor,583_fri_c1_1000_50,ok,0.644091,0.590976,,0.23,,
XGBRegressor,584_fri_c4_500_25,ok,0.624987,0.571037,,0.14,,
XGBRegressor,586_fri_c3_1000_25,ok,0.652215,0.56277,,0.14,,
XGBRegressor,588_fri_c4_1000_100,ok,0.512704,0.602925,,0.39,,
XGBRegressor,589_fri_c2_1000_25,ok,0.585557,0.627685,,0.14,,
XGBRegressor,590_fri_c0_1000_50,ok,0.503756,0.701028,,0.22,,
XGBRegressor,591_fri_c1_100_10,ok,0.854468,0.380996,,0.06,,
XGBRegressor,592_fri_c4_1000_25,ok,0.646833,0.624635,,0.19,,
XGBRegressor,593_fri_c1_1000_10,ok,0.805778,0.395565,,0.14,,
XGBRegressor,594_fri_c2_100_5,ok,0.702154,0.563935,,0.06,,
XGBRegressor,595_fri_c0_1000_10,ok,0.661518,0.574091,,0.09,,
XGBRegressor,596_fri_c2_250_5,ok,0.842862,0.429035,,0.07,,
XGBRegressor,597_fri_c2_500_5,ok,0.881624,0.366434,,0.07,,
XGBRegressor,598_fri_c0_1000_25,ok,0.518425,0.663152,,0.14,,
XGBRegressor,599_fri_c2_1000_5,ok,0.86566,0.383713,,0.1,,
XGBRegressor,601_fri_c1_250_5,ok,0.871885,0.353578,,0.07,,
XGBRegressor,602_fri_c3_250_10,ok,0.814789,0.435149,,0.09,,
XGBRegressor,603_fri_c0_250_50,ok,0.589635,0.568949,,0.23,,
XGBRegressor,604_fri_c4_500_10,ok,0.76809,0.523915,,0.1,,
XGBRegressor,605_fri_c2_250_25,ok,0.729011,0.519848,,0.14,,
XGBRegressor,606_fri_c2_1000_10,ok,0.816906,0.42654,,0.09,,
XGBRegressor,607_fri_c4_1000_50,ok,0.768574,0.595152,,0.21,,
XGBRegressor,608_fri_c3_1000_10,ok,0.793374,0.435308,,0.08,,
XGBRegressor,609_fri_c0_1000_5,ok,0.755754,0.48778,,0.07,,
XGBRegressor,611_fri_c3_100_5,ok,0.565591,0.697564,,0.06,,
XGBRegressor,612_fri_c1_1000_5,ok,0.792827,0.460413,,0.07,,
XGBRegressor,613_fri_c3_250_5,ok,0.774035,0.396765,,0.07,,
XGBRegressor,615_fri_c4_250_10,ok,0.82171,0.367824,,0.09,,
XGBRegressor,616_fri_c4_500_50,ok,0.658577,0.604513,,0.22,,
XGBRegressor,617_fri_c3_500_5,ok,0.832309,0.342304,,0.07,,
XGBRegressor,618_fri_c3_1000_50,ok,0.757057,0.438374,,0.21,,
XGBRegressor,620_fri_c1_1000_25,ok,0.780038,0.500664,,0.18,,
XGBRegressor,621_fri_c0_100_10,ok,0.58582,0.661436,,0.07,,
XGBRegressor,622_fri_c2_1000_50,ok,0.736312,0.490457,,0.23,,
XGBRegressor,623_fri_c4_1000_10,ok,0.828382,0.32635,,0.09,,
XGBRegressor,624_fri_c0_100_5,ok,0.481587,0.692975,,0.06,,
XGBRegressor,626_fri_c2_500_50,ok,0.769319,0.439908,,0.22,,
XGBRegressor,627_fri_c2_500_10,ok,0.786637,0.405796,,0.09,,
XGBRegressor,628_fri_c3_1000_5,ok,0.782163,0.47674,,0.07,,
