algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
ITEARegressor,0.0,Black-box,0.4834918805356175,0.3084800058313085,134,138,0.014925373134328358,15.813432835820896,10.82962235989146,134,532.0738835548287,3341.3522494750678,134
ITEARegressor,0.0,Feynman,0.9134988791413499,0.1661742826362572,119,119,0.2773109243697479,17.243697478991596,6.230007191217416,119,2404.574767964227,668.6424075354851,119
ITEARegressor,0.0,Strogatz,0.7827643048050109,0.271377464577802,14,14,0.21428571428571427,11.142857142857142,1.8337495365063803,14,27.358376043183462,7.503066647426876,14
ITEARegressor,0.001,Black-box,0.48614655707587184,0.3093239218095718,134,138,0.014925373134328358,15.514925373134329,10.901979591658817,134,536.1784401847356,3384.8213175891674,134
ITEARegressor,0.001,Feynman,0.9137911137782317,0.1663226351137453,119,119,0.2773109243697479,17.26050420168067,6.069459787864783,119,2419.066199236557,663.6320567542563,119
ITEARegressor,0.001,Strogatz,0.7840226516859843,0.2674719519244933,14,14,0.21428571428571427,11.0,1.7541160386140584,14,27.5989408322743,6.9825494713781024,14
ITEARegressor,0.01,Black-box,0.4810638762307462,0.30487925861255427,134,138,0.014925373134328358,15.91044776119403,10.87486077108501,134,571.4713382382891,3608.5554716436786,134
ITEARegressor,0.01,Feynman,0.9128897376975718,0.1685864381558311,119,119,0.2773109243697479,17.310924369747898,5.944300644756163,119,2430.111004835417,663.0801344645841,119
ITEARegressor,0.01,Strogatz,0.7827269046120918,0.2713867727832355,14,14,0.21428571428571427,11.0,1.7541160386140584,14,26.642812626702444,7.050642061318797,14
ITEARegressor,0.1,Black-box,0.4666418640032076,0.2923734852738849,134,138,0.0,14.940298507462687,9.452501911738835,134,559.193453361739,3571.820118529081,134
ITEARegressor,0.1,Feynman,0.9132186866833925,0.16934723927846362,119,119,0.2773109243697479,17.521008403361346,6.154574899604686,119,2437.874785331117,674.3820567487553,119
ITEARegressor,0.1,Strogatz,0.7993811046403331,0.2557787794726882,14,14,0.14285714285714285,11.5,2.27866357593825,14,29.06111412388938,7.473817947722452,14
