algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
KernelRidge,0.0,Black-box,0.16647995588235293,0.23136847731215715,136,136,0.0,,,0,0.000661764705882353,0.002495093223925397,136
KernelRidge,0.0,Feynman,0.053277159663865536,0.14887390564609282,119,119,0.0,,,0,0.028319327731092435,0.05195042173253545,119
KernelRidge,0.0,Strogatz,0.23331992857142855,0.33597490403175706,14,14,0.0,,,0,0.022142857142857148,0.031422327051996594,14
KernelRidge,0.001,Black-box,0.1656929312977099,0.23489301210532132,131,131,0.0,,,0,0.008167938931297712,0.01263703511463625,131
KernelRidge,0.001,Feynman,0.053273512605042025,0.14886761914805813,119,119,0.0,,,0,0.027142857142857135,0.03827073177261734,119
KernelRidge,0.001,Strogatz,0.23333292857142857,0.3359755071328092,14,14,0.0,,,0,0.05214285714285715,0.06129105486605208,14
KernelRidge,0.01,Black-box,0.16656311029411763,0.2314588488385874,136,136,0.0,,,0,0.0011764705882352944,0.0032338083338177732,136
KernelRidge,0.01,Feynman,0.05323996638655463,0.14881065102428004,119,119,0.0,,,0,0.025882352941176464,0.0350885505664943,119
KernelRidge,0.01,Strogatz,0.23344978571428568,0.33598084766137826,14,14,0.0,,,0,0.057857142857142864,0.08745799619760962,14
KernelRidge,0.1,Black-box,0.16658974264705884,0.2317099413968215,136,136,0.0,,,0,0.0022794117647058822,0.004548815354891602,136
KernelRidge,0.1,Feynman,0.052799184873949585,0.1481843099678925,119,119,0.0,,,0,0.02142857142857143,0.033096820326709624,119
KernelRidge,0.1,Strogatz,0.2345269285714286,0.33600965662988463,14,14,0.0,,,0,0.03071428571428572,0.05225150505219711,14
