algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
gplearn,0.0,Black-box,0.5073594202847308,0.28114966992122964,124,138,0.06521739130434782,19.941176470588236,15.108803776510351,136,376.1440885750686,72.2267067328849,136
gplearn,0.0,Feynman,0.6679640683613765,0.30745688446883446,111,119,0.31932773109243695,20.798319327731093,17.18734136094625,119,364.5565493647792,62.34785903612952,119
gplearn,0.0,Strogatz,0.7231112648656074,0.33404501809156073,12,14,0.5,31.428571428571427,25.398859045562,14,397.16287333624706,88.90581142303625,14
gplearn,0.001,Black-box,0.512713813719142,0.28324446282663773,124,138,0.06521739130434782,19.683823529411764,15.343949854758021,136,375.88776073560996,65.01812287499997,136
gplearn,0.001,Feynman,0.6662951951686502,0.3094913363097737,111,119,0.31932773109243695,20.294117647058822,15.226222924861824,119,364.1568991817346,62.17801415378171,119
gplearn,0.001,Strogatz,0.7378136862918138,0.33404302180254936,12,14,0.5,25.857142857142858,18.380335543560612,14,392.4110589708601,62.72656504381128,14
gplearn,0.01,Black-box,0.5021181060656456,0.286403905275373,123,138,0.06521739130434782,19.25735294117647,15.658110247488084,136,373.1605057453408,67.0800008186523,136
gplearn,0.01,Feynman,0.6708589644935149,0.31563398787152136,110,119,0.33613445378151263,20.050420168067227,14.214354645031174,119,366.09156004320675,61.782113424797316,119
gplearn,0.01,Strogatz,0.6924589959428639,0.38137688621833427,12,14,0.5,27.071428571428573,19.829502859967757,14,417.2117702790669,95.39431214753213,14
gplearn,0.1,Black-box,0.4964551649826057,0.28437165424577515,126,138,0.06521739130434782,19.323529411764707,14.02093096731852,136,369.00290344217245,62.183012478897226,136
gplearn,0.1,Feynman,0.6708129200954707,0.3079648671724436,109,119,0.2857142857142857,22.941176470588236,19.011846867282323,119,364.7043240270695,63.26914432359603,119
gplearn,0.1,Strogatz,0.7256898721159528,0.3246000325559106,12,14,0.42857142857142855,22.0,14.677485187475796,14,365.10648994786396,45.93837809155923,14
